station,hour,day_of_week,month,is_weekend,is_holiday,is_peak_hour,crowd_level
Arumbakkam,10,5,5,1,0,1,1.0
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,22,5,7,1,0,0,0.5895227725337999
LIC,17,0,4,0,0,1,1.0
LIC,11,0,12,0,0,0,0.4780209443540423
Vadapalani,23,5,5,1,0,0,0.406774805991838
St. Thomas Mount,17,0,1,0,0,1,1.0
Saidapet,14,0,2,0,0,0,0.61181270252453
Guindy,20,1,9,0,0,0,0.36088947608572913
Nanganallur Road,15,2,2,0,0,0,0.33902138588769093
AG-DMS,11,2,9,0,0,0,0.41034710363122406
Kaladipet,4,6,8,1,0,0,0.4007985650374992
Tondiarpet,6,2,12,0,0,0,0.3681127172642164
Arumbakkam,5,3,11,0,0,0,0.18699398143795826
Vadapalani,10,0,9,0,0,1,0.9301795016132828
Ashok Nagar,0,4,12,0,0,0,0.13270674976713107
Meenambakkam,18,2,5,0,0,1,0.9558473035186041
St. Thomas Mount,11,6,7,1,0,0,0.3709669578382949
LIC,13,0,2,0,0,0,0.6505307602946655
Saidapet,15,5,9,1,0,0,0.6730577194285161
Tiruvottiyur Theradi,2,2,11,0,0,0,0.4306302135423834
Thousand Lights,22,4,6,0,0,0,0.4113736167593558
Nandanam,18,1,5,0,0,1,1.0
Tiruvottiyur,4,3,11,0,0,0,0.3282555555144831
Alandur,3,5,9,1,0,0,0.46926067380305897
Chennai International Airport,23,2,10,0,0,0,0.182324249862907
Saidapet,23,3,8,0,0,0,0.5365943948404007
Ekkattuthangal,23,2,4,0,0,0,0.2793104054313754
Mannadi,5,3,2,0,0,0,0.25527100892343135
Kilpauk,8,0,4,0,0,1,0.8745994239174721
Anna Nagar East,16,3,10,0,0,1,0.9683467467659005
Washermanpet,6,3,5,0,0,0,0.1548024031526927
Government Estate,21,6,11,1,0,0,0.5227507660097215
Government Estate,0,1,10,0,0,0,0.1796191354072335
Guindy,6,0,9,0,0,0,0.12369806252290519
Arumbakkam,3,2,12,0,0,0,0.3743395103065681
Thousand Lights,22,5,3,1,0,0,0.35406793711516515
Tiruvottiyur Theradi,6,1,6,0,0,0,0.4074945779792155
Guindy,7,6,4,1,0,1,1.0
Kaladipet,5,6,4,1,0,0,0.34725083155213055
Pachaiyappa's College,15,2,1,0,0,0,0.41439861782604837
Tollgate,5,6,11,1,0,0,0.6880698868037971
Meenambakkam,0,5,7,1,0,0,0.48696862903271476
Koyambedu,20,4,10,0,0,0,0.2630468741738882
Washermanpet,17,3,7,0,0,1,0.9958816276279369
Ekkattuthangal,0,0,10,0,0,0,0.3620251789141047
Mannadi,2,6,7,1,0,0,0.5146901262450411
High Court,22,6,10,1,0,0,0.6582690762903174
Sir Theagaraya College,22,1,3,0,0,0,0.18868447770893412
Meenambakkam,9,4,2,0,0,1,1.0
Little Mount,12,5,10,1,0,0,0.6043690079489259
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,19,6,7,1,0,1,1.0
Thousand Lights,0,4,5,0,0,0,0.38318846506096266
Tondiarpet,14,2,5,0,0,0,0.38323499108317416
Tiruvottiyur,22,6,5,1,0,0,0.36249261649710274
Thirumangalam,21,3,11,0,1,0,0.6759800961875999
Vadapalani,20,1,3,0,0,0,0.284696713965772
Government Estate,2,6,12,1,0,0,0.47185383808860526
Meenambakkam,14,0,7,0,0,0,0.4622802366243159
Puratchi Thalaivar Dr. M.G. Ramachandran Central,10,6,5,1,0,1,1.0
Tondiarpet,9,2,8,0,0,1,1.0
Mannadi,1,1,1,0,0,0,0.3096711909420022
Pachaiyappa's College,0,5,2,1,0,0,0.6517991685387903
Anna Nagar Tower,21,3,5,0,0,0,0.14134592693310494
Meenambakkam,14,4,10,0,0,0,0.6841619900940673
Vadapalani,9,1,11,0,0,1,1.0
Anna Nagar East,22,0,10,0,0,0,0.2194256587232667
Sir Theagaraya College,22,1,11,0,0,0,0.19274886064675995
Teynampet,12,4,6,0,0,0,0.586293244468417
Anna Nagar East,6,3,6,0,0,0,0.2282976298883177
Anna Nagar East,13,0,11,0,0,0,0.36405350821830906
Nandanam,1,0,2,0,0,0,0.3024275446030408
Nehru Park,2,3,5,0,0,0,0.34160911038187486
AG-DMS,2,6,1,1,0,0,0.42074413908316477
Ashok Nagar,19,1,4,0,0,1,1.0
